124		 MAGNUS CORT NIELSEN 		UNO-X-MOBILITY
125		 ANDERS JOHANNESSEN 		UNO-X-MOBILITY
126		 ANDERS SKAARSETH 		UNO-X-MOBILITY
127		 TORSTEIN TRÆEN 		UNO-X-MOBILITY
128		 SOREN WAERENSKJOLD 		UNO-X-MOBILITY
131		 BINIAM GIRMAY 		NSN-CYCLING-TEAM
132		 LEWIS ASKEY 		NSN-CYCLING-TEAM
133		 GEORGE BENNETT 		NSN-CYCLING-TEAM
134		 MARCO FRIGO 		NSN-CYCLING-TEAM
135		 MATIS LOUVEL 		NSN-CYCLING-TEAM
136		 KRISTS NEILANDS 		NSN-CYCLING-TEAM
137		 JAKE STEWART 		NSN-CYCLING-TEAM
138		 TOM VAN ASBROECK 		NSN-CYCLING-TEAM
141		 CIAN UIJTDEBROEKS 		MOVISTAR-TEAM
142		 PABLO CASTRILLO 		MOVISTAR-TEAM
143		 JEFFERSON CEPEDA 		MOVISTAR-TEAM
144		 RAUL GARCIA 		MOVISTAR-TEAM
145		 MICHEL HEßMANN 		MOVISTAR-TEAM
146		 NELSON OLIVEIRA 		MOVISTAR-TEAM
147		 JAVIER ROMO 		MOVISTAR-TEAM
148		 EINER RUBIO 		MOVISTAR-TEAM
151		 ARNAUD DE LIE 		LOTTO-INTERMARCHE
152		 HUUB ARTZ 		LOTTO-INTERMARCHE
153		 JENNO BERCKMOES 		LOTTO-INTERMARCHE
154		 LARS CRAPS 		LOTTO-INTERMARCHE
155		 LIAM SLOCK 		LOTTO-INTERMARCHE
156		 LENNERT VAN EETVELT 		LOTTO-INTERMARCHE
157		 BAPTISTE VEISTROFFER 		LOTTO-INTERMARCHE
158		 GEORG ZIMMERMANN 		LOTTO-INTERMARCHE
161		 ION IZAGIRRE 		COFIDIS
162		 PIET ALLEGAERT 		COFIDIS
163		 ALEX ARANBURU 		COFIDIS
164		 JENTHE BIERMANS 		COFIDIS
165		 MILAN FRETIN 		COFIDIS
166		 ALEX KIRSCH 		COFIDIS
167		 HUGO PAGE 		COFIDIS
168		 BENJAMIN THOMAS 		COFIDIS
171		 TOM PIDCOCK 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
172		 XABIER AZPARREN IRURZUN 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
173		 CHRISTOPHER HARPER 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
174		 QUINTEN HERMANS 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
175		 DAMIEN CRAIG HOWSON 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
176		 XANDRO MEURISSE 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
177		 BRENT VAN MOER 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
178		 FRED WRIGHT 		PINARELLO-Q36-5-PRO-CYCLING-TEAM
181		 ROMAIN GREGOIRE 		GROUPAMA-FDJ-UNITED
182		 CLÉMENT BERTHET 		GROUPAMA-FDJ-UNITED
183		 CLÉMENT BRAZ AFONSO 		GROUPAMA-FDJ-UNITED
184		 EWEN COSTIOU 		GROUPAMA-FDJ-UNITED
185		 LORENZO GERMANI 		GROUPAMA-FDJ-UNITED
186		 GUILLAUME MARTIN GUYONNET 		GROUPAMA-FDJ-UNITED
187		 QUENTIN PACHER 		GROUPAMA-FDJ-UNITED
188		 CLÉMENT RUSSO 		GROUPAMA-FDJ-UNITED
191		 JULIAN ALAPHILIPPE 		TUDOR-PRO-CYCLING-TEAM
192		 ARVID DE KLEIJN 		TUDOR-PRO-CYCLING-TEAM
193		 MARCO HALLER 		TUDOR-PRO-CYCLING-TEAM
194		 MARC HIRSCHI 		TUDOR-PRO-CYCLING-TEAM
195		 RICK PLUIMERS 		TUDOR-PRO-CYCLING-TEAM
196		 MICHAEL STORER 		TUDOR-PRO-CYCLING-TEAM
197		 MATTEO TRENTIN 		TUDOR-PRO-CYCLING-TEAM
198		 YANNIS VOISARD 		TUDOR-PRO-CYCLING-TEAM
201		 JORDAN JEGAT 		TOTALENERGIES
202		 NICOLAS BREUILLARD 		TOTALENERGIES
203		 JORIS DELBOVE 		TOTALENERGIES
204		 ALEXANDRE DELETTRE 		TOTALENERGIES
205		 THIBAULT GUERNALEC 		TOTALENERGIES
206		 MATHIS LE BERRE 		TOTALENERGIES
207		 ANTHONY TURGIS 		TOTALENERGIES
208		 MATTEO VERCHER 		TOTALENERGIES
211		 WARREN BARGUIL 		TEAM-PICNIC-POSTNL
212		 FRITS BIESTERBOS 		TEAM-PICNIC-POSTNL
213		 PAVEL BITTNER 		TEAM-PICNIC-POSTNL
214		 JOHN DEGENKOLB 		TEAM-PICNIC-POSTNL
215		 ROBBE DHONDT 		TEAM-PICNIC-POSTNL
216		 NIKLAS MÄRKL 		TEAM-PICNIC-POSTNL
217		 JULIUS VAN DEN BERG 		TEAM-PICNIC-POSTNL
218		 FRANK VAN DEN BROEK 		TEAM-PICNIC-POSTNL
221		 FERNANDO GAVIRIA 		CAJA-RURAL-SEGUROS-RGA
222		 ABEL BALDERSTONE 		CAJA-RURAL-SEGUROS-RGA
223		 SEBASTIAN BERWICK 		CAJA-RURAL-SEGUROS-RGA
224		 ALEX MOLENAAR 		CAJA-RURAL-SEGUROS-RGA
225		 JOEL NICOLAU 		CAJA-RURAL-SEGUROS-RGA
226		 STEFANO OLDANI 		CAJA-RURAL-SEGUROS-RGA
227		 JAKUB OTRUBA 		CAJA-RURAL-SEGUROS-RGA
228		 JOSE FELIX PARRA 		CAJA-RURAL-SEGUROS-RGA
